This file name already exists
This file name already exists
         1012464 function calls (1004834 primitive calls) in 118.807 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    91807  117.488    0.001  117.511    0.001 plot_gtex.py:5(linear_search)
    48/47    0.176    0.004    0.179    0.004 {built-in method _imp.create_dynamic}
        1    0.139    0.139    0.139    0.139 {built-in method mkl._py_mkl_service.get_version}
    28729    0.134    0.000    0.134    0.000 {method 'split' of 'str' objects}
        1    0.133    0.133  117.829  117.829 plot_gtex.py:25(main)
      258    0.104    0.000    0.104    0.000 {method 'read' of '_io.FileIO' objects}
      258    0.049    0.000    0.049    0.000 {built-in method marshal.loads}
      258    0.047    0.000    0.151    0.001 <frozen importlib._bootstrap_external>:914(get_data)
     1288    0.027    0.000    0.027    0.000 {built-in method posix.stat}
        1    0.026    0.026  118.808  118.808 plot_gtex.py:1(<module>)
     2467    0.023    0.000    0.039    0.000 inspect.py:613(cleandoc)
248186/247252    0.019    0.000    0.019    0.000 {built-in method builtins.len}
 1044/953    0.018    0.000    0.064    0.000 {built-in method builtins.__build_class__}
      317    0.016    0.000    0.016    0.000 {built-in method builtins.compile}
   158296    0.016    0.000    0.016    0.000 {built-in method builtins.isinstance}
      408    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       27    0.013    0.000    0.032    0.001 __init__.py:908(_rc_params_in_file)
   124519    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
        6    0.007    0.001    0.007    0.001 weakref.py:102(__init__)
  442/176    0.007    0.000    0.020    0.000 sre_parse.py:475(_parse)
    29343    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
    48/42    0.007    0.000    0.030    0.001 {built-in method _imp.exec_dynamic}
        1    0.006    0.006    0.006    0.006 {method 'dot' of 'numpy.ndarray' objects}
      564    0.006    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        2    0.005    0.002    0.007    0.004 data_viz.py:36(boxplot)
       31    0.005    0.000    0.005    0.000 {built-in method io.open}
      638    0.005    0.000    0.012    0.000 inspect.py:2117(_signature_from_function)
